seurat_clusters,organ_custom,time,mice_present,min_cells_per_mouse,median_cells_per_mouse,total_cells
2,LNG,D02,3,30,37,108
2,LNG,D05,3,7,19,203
2,LNG,D08,3,3,12,28
2,LNG,D14,3,56,245,1752
2,LNG,Naive,3,17,47,416
2,OM,D02,3,270,310,951
2,OM,D05,3,4,6,19
2,OM,D08,3,145,267,690
2,OM,D14,3,68,322,760
2,OM,Naive,3,162,164,851
2,RM,D02,3,84,111,688
2,RM,D05,3,36,48,141
2,RM,D08,3,59,100,285
2,RM,D14,3,57,179,517
2,RM,Naive,3,34,35,187
4,LNG,D02,3,270,291,858
4,LNG,D05,3,105,139,397
4,LNG,D08,3,80,112,308
4,LNG,D14,3,84,211,564
4,LNG,Naive,3,74,104,295
4,OM,D02,3,109,109,332
4,OM,D05,3,30,32,104
4,OM,D08,3,71,75,277
4,OM,D14,3,71,112,306
4,OM,Naive,3,85,89,311
4,RM,D02,3,190,193,706
4,RM,D05,3,63,142,370
4,RM,D08,3,66,90,255
4,RM,D14,3,100,138,396
4,RM,Naive,3,134,165,533
5,LNG,D02,3,21,35,92
5,LNG,D05,3,14,15,95
5,LNG,D08,3,16,17,53
5,LNG,D14,3,28,85,355
5,LNG,Naive,3,11,23,88
5,OM,D02,3,26,41,137
5,OM,D05,3,7,8,32
5,OM,D08,3,38,51,141
5,OM,D14,3,28,73,187
5,OM,Naive,3,42,42,144
5,RM,D02,3,54,54,206
5,RM,D05,3,74,152,445
5,RM,D08,3,290,434,1164
5,RM,D14,3,231,300,870
5,RM,Naive,3,81,86,254
6,LNG,D02,3,5,16,38
6,LNG,D05,1,1,1,1
6,LNG,D08,3,2,2,6
6,LNG,D14,3,3,13,35
6,LNG,Naive,3,2,4,11
6,OM,D02,3,145,160,488
6,OM,D05,3,13,15,43
6,OM,D08,3,120,126,447
6,OM,D14,3,105,207,536
6,OM,Naive,3,104,113,342
6,RM,D02,3,76,136,427
6,RM,D05,3,104,142,412
6,RM,D08,3,152,155,540
6,RM,D14,3,196,206,701
6,RM,Naive,3,64,68,235
13,LNG,D02,3,1,9,31
13,LNG,D05,2,2,4,8
13,LNG,D08,2,1,1,2
13,LNG,D14,3,2,4,53
13,LNG,Naive,3,1,1,9
13,OM,D02,3,148,152,470
13,OM,D05,3,2,7,19
13,OM,D08,3,27,60,245
13,OM,D14,3,186,252,849
13,OM,Naive,3,192,212,619
13,RM,D02,3,9,21,85
13,RM,D05,3,4,7,23
13,RM,D08,3,8,11,66
13,RM,D14,3,24,49,133
13,RM,Naive,3,8,13,36
15,LNG,D02,3,27,43,192
15,LNG,D05,3,19,25,93
15,LNG,D08,3,11,20,68
15,LNG,D14,3,4,8,39
15,LNG,Naive,3,12,19,67
15,OM,D02,3,19,31,117
15,OM,D05,3,8,12,43
15,OM,D08,3,20,22,70
15,OM,D14,3,3,11,27
15,OM,Naive,3,14,16,56
15,RM,D02,3,143,165,511
15,RM,D05,3,38,82,270
15,RM,D08,3,49,49,180
15,RM,D14,3,38,48,151
15,RM,Naive,3,71,126,345
31,LNG,D02,3,1,4,16
31,LNG,D05,3,5,6,17
31,LNG,D08,3,1,2,15
31,LNG,D14,3,1,6,17
31,LNG,Naive,3,1,7,16
31,OM,D02,3,1,3,18
31,OM,D05,3,1,2,19
31,OM,D08,3,2,3,13
31,OM,D14,3,3,5,15
31,OM,Naive,2,3,3,6
31,RM,D02,3,14,24,63
31,RM,D05,3,7,19,61
31,RM,D08,3,10,12,46
31,RM,D14,3,16,17,54
31,RM,Naive,3,20,43,108
