"organ_custom","time","biosample_id","mouse_id","n_cells"
"LNG","D02","D02_LNG","m1_Sinus_D2",488
"LNG","D02","D02_LNG","m2_Sinus_D2",485
"LNG","D02","D02_LNG","m3_Sinus_D2",337
"LNG","D05","D05_LNG","m1_Sinus_D5",335
"LNG","D05","D05_LNG","m2_Sinus_D5",314
"LNG","D05","D05_LNG","m3_Sinus_D5",143
"LNG","D08","D08_LNG","m1_Sinus_D8",256
"LNG","D08","D08_LNG","m2_Sinus_D8",193
"LNG","D08","D08_LNG","m3_Sinus_D8",138
"LNG","D14","D14_LNG","m1_Sinus_D14",398
"LNG","D14","D14_LNG","m2_Sinus_D14",720
"LNG","D14","D14_LNG","m3_Sinus_D14",236
"LNG","Naive","Naive_LNG","m1_Sinus_Naive",183
"LNG","Naive","Naive_LNG","m2_Sinus_Naive",89
"LNG","Naive","Naive_LNG","m3_Sinus_Naive",128
"OM","D02","D02_OM","m1_ET_D2",175
"OM","D02","D02_OM","m2_ET_D2",221
"OM","D02","D02_OM","m3_ET_D2",211
"OM","D05","D05_OM","m1_ET_D5",43
"OM","D05","D05_OM","m2_ET_D5",44
"OM","D05","D05_OM","m3_ET_D5",45
"OM","D08","D08_OM","m1_ET_D8",229
"OM","D08","D08_OM","m2_ET_D8",247
"OM","D08","D08_OM","m3_ET_D8",202
"OM","D14","D14_OM","m1_ET_D14",125
"OM","D14","D14_OM","m2_ET_D14",204
"OM","D14","D14_OM","m3_ET_D14",257
"OM","Naive","Naive_OM","m1_ET_Naive",197
"OM","Naive","Naive_OM","m2_ET_Naive",151
"OM","Naive","Naive_OM","m3_ET_Naive",197
"RM","D02","D02_RM","m1_RT_D2",449
"RM","D02","D02_RM","m2_RT_D2",193
"RM","D02","D02_RM","m3_RT_D2",208
"RM","D05","D05_RM","m1_RT_D5",117
"RM","D05","D05_RM","m2_RT_D5",210
"RM","D05","D05_RM","m3_RT_D5",267
"RM","D08","D08_RM","m1_RT_D8",186
"RM","D08","D08_RM","m2_RT_D8",195
"RM","D08","D08_RM","m3_RT_D8",237
"RM","D14","D14_RM","m1_RT_D14",350
"RM","D14","D14_RM","m2_RT_D14",262
"RM","D14","D14_RM","m3_RT_D14",320
"RM","Naive","Naive_RM","m1_RT_Naive",481
"RM","Naive","Naive_RM","m2_RT_Naive",321
"RM","Naive","Naive_RM","m3_RT_Naive",264
