"biosample_id","mouse_id","organ_custom","time","disease__ontology_label","n_cells"
"D02_LNG","","LNG","D02","influenza",2313
"D02_LNG","m1_Sinus_D2","LNG","D02","influenza",1450
"D02_LNG","m2_Sinus_D2","LNG","D02","influenza",2365
"D02_LNG","m3_Sinus_D2","LNG","D02","influenza",1096
"D05_LNG","","LNG","D05","influenza",1495
"D05_LNG","m1_Sinus_D5","LNG","D05","influenza",998
"D05_LNG","m2_Sinus_D5","LNG","D05","influenza",1112
"D05_LNG","m3_Sinus_D5","LNG","D05","influenza",1468
"D08_LNG","","LNG","D08","influenza",865
"D08_LNG","m1_Sinus_D8","LNG","D08","influenza",837
"D08_LNG","m2_Sinus_D8","LNG","D08","influenza",1232
"D08_LNG","m3_Sinus_D8","LNG","D08","influenza",457
"D14_LNG","","LNG","D14","influenza",1568
"D14_LNG","m1_Sinus_D14","LNG","D14","influenza",1372
"D14_LNG","m2_Sinus_D14","LNG","D14","influenza",3600
"D14_LNG","m3_Sinus_D14","LNG","D14","influenza",700
"Naive_LNG","","LNG","Naive","normal",568
"Naive_LNG","m1_Sinus_Naive","LNG","Naive","normal",568
"Naive_LNG","m2_Sinus_Naive","LNG","Naive","normal",587
"Naive_LNG","m3_Sinus_Naive","LNG","Naive","normal",1094
"D02_OM","","OM","D02","influenza",6240
"D02_OM","m1_ET_D2","OM","D02","influenza",2200
"D02_OM","m2_ET_D2","OM","D02","influenza",5509
"D02_OM","m3_ET_D2","OM","D02","influenza",2506
"D05_OM","","OM","D05","influenza",3460
"D05_OM","m1_ET_D5","OM","D05","influenza",597
"D05_OM","m2_ET_D5","OM","D05","influenza",896
"D05_OM","m3_ET_D5","OM","D05","influenza",3053
"D08_OM","","OM","D08","influenza",6623
"D08_OM","m1_ET_D8","OM","D08","influenza",2251
"D08_OM","m2_ET_D8","OM","D08","influenza",2793
"D08_OM","m3_ET_D8","OM","D08","influenza",2044
"D14_OM","","OM","D14","influenza",5212
"D14_OM","m1_ET_D14","OM","D14","influenza",1664
"D14_OM","m2_ET_D14","OM","D14","influenza",2786
"D14_OM","m3_ET_D14","OM","D14","influenza",1984
"Naive_OM","","OM","Naive","normal",6432
"Naive_OM","m1_ET_Naive","OM","Naive","normal",2624
"Naive_OM","m2_ET_Naive","OM","Naive","normal",2394
"Naive_OM","m3_ET_Naive","OM","Naive","normal",2388
"D02_RM","","RM","D02","influenza",6882
"D02_RM","m1_RT_D2","RM","D02","influenza",3629
"D02_RM","m2_RT_D2","RM","D02","influenza",3271
"D02_RM","m3_RT_D2","RM","D02","influenza",2687
"D05_RM","","RM","D05","influenza",3167
"D05_RM","m1_RT_D5","RM","D05","influenza",1518
"D05_RM","m2_RT_D5","RM","D05","influenza",5036
"D05_RM","m3_RT_D5","RM","D05","influenza",3544
"D08_RM","","RM","D08","influenza",2836
"D08_RM","m1_RT_D8","RM","D08","influenza",3001
"D08_RM","m2_RT_D8","RM","D08","influenza",4048
"D08_RM","m3_RT_D8","RM","D08","influenza",2536
"D14_RM","","RM","D14","influenza",3335
"D14_RM","m1_RT_D14","RM","D14","influenza",2736
"D14_RM","m2_RT_D14","RM","D14","influenza",2634
"D14_RM","m3_RT_D14","RM","D14","influenza",2612
"Naive_RM","","RM","Naive","normal",5173
"Naive_RM","m1_RT_Naive","RM","Naive","normal",3323
"Naive_RM","m2_RT_Naive","RM","Naive","normal",3015
"Naive_RM","m3_RT_Naive","RM","Naive","normal",2188
