"cluster","singler_label","singler_pruned"
"0","Neurons","Neurons"
"1","Macrophages","Macrophages"
"2","B cells","B cells"
"3","Fibroblasts","Fibroblasts"
"4","Endothelial cells","Endothelial cells"
"5","T cells","T cells"
"6","Granulocytes","Granulocytes"
"7","Monocytes","Monocytes"
"8","Fibroblasts","Fibroblasts"
"9","Neurons","Neurons"
"10","Monocytes","Monocytes"
"11","Monocytes","Monocytes"
"12","Fibroblasts","Fibroblasts"
"13","Granulocytes","Granulocytes"
"14","Monocytes","Monocytes"
"15","Fibroblasts","Fibroblasts"
"16","NK cells","NK cells"
"17","Fibroblasts","Fibroblasts"
"18","Epithelial cells","Epithelial cells"
"19","Fibroblasts","Fibroblasts"
"20","Endothelial cells","Endothelial cells"
"21","B cells","B cells"
"22","Fibroblasts","Fibroblasts"
"23","Endothelial cells","Endothelial cells"
"24","Macrophages","Macrophages"
"25","Fibroblasts","Fibroblasts"
"26","B cells","B cells"
"27","Fibroblasts","Fibroblasts"
"28","Fibroblasts","Fibroblasts"
"29","Macrophages","Macrophages"
"30","B cells","B cells"
"31","Epithelial cells","Epithelial cells"
"32","Fibroblasts","Fibroblasts"
"33","T cells","T cells"
"34","Fibroblasts","Fibroblasts"
"35","Macrophages","Macrophages"
